categoria,Producto,Nombre,Precio
base,Base de Maquillaje,Base Perfecta,25000
base,Base de Maquillaje,Base Liquida Acabado Natural,28000
base,Base de Maquillaje,Base en Polvo Mate,30000
labiales,Labial,Barras de Labios Rojo Intenso,15000
labiales,Labial,Labial Liquido Mate,18000
labiales,Labial,brillo de Labios Transparente,12000
sombras,Sombra de Ojos,Sombras Neutras,20000
sombras,Sombra de Ojos,Sombras de Colores Brillantes,22000
sombras,Sombra de Ojos,Sombras de Ojos Mate,18000
mascaras,Mascara de Pestanas,Mascara de Pestanas Voluminizadora,22000
mascaras,Mascara de Pestanas,Mascara de Pestanas Alargadora,25000
mascaras,Mascara de Pestanas,Mascara de Pestanas Waterproof,28000
